energy,tempo,instrumentalness,acousticness,danceability,key,loudness,mode,speechiness,liveness,valence,duration_ms,time_signature,label
0.284,98.856,0.00139,0.954,0.475,8.0,-13.63,0,0.0389,0.268,0.481,186801.0,3.0,Mender
0.0874,88.783,0.926,0.954,0.519,4.0,-23.828,0,0.0486,0.11,0.595,171773.0,4.0,Mender
0.388,97.313,0.929,0.538,0.411,11.0,-9.457,0,0.0496,0.304,0.356,86000.0,4.0,Mender
0.531,95.718,3.03e-05,0.822,0.635,4.0,-9.077,0,0.0309,0.199,0.471,173000.0,4.0,Mender
0.303,76.367,4.21e-05,0.924,0.645,4.0,-11.652,0,0.0525,0.122,0.535,143413.0,3.0,Mender
0.525,99.842,0.91,0.852,0.427,6.0,-8.739,0,0.0462,0.106,0.386,187345.0,4.0,Mender
0.538,92.023,0.0,0.654,0.756,1.0,-6.625,0,0.0485,0.172,0.516,165108.0,4.0,Mender
0.585,99.935,4.84e-06,0.517,0.567,9.0,-9.32,0,0.0329,0.115,0.374,339442.0,4.0,Mender
0.531,79.993,0.0,0.761,0.544,11.0,-6.899,0,0.0397,0.115,0.471,221044.0,4.0,Mender
0.456,95.992,0.0,0.529,0.816,9.0,-8.281,0,0.569,0.189,0.534,343118.0,4.0,Mender
0.592,79.34,0.0,0.453,0.534,7.0,-6.149,0,0.149,0.193,0.405,186315.0,4.0,Mender
0.501,97.922,0.0,0.455,0.544,8.0,-7.152,0,0.0625,0.108,0.517,210000.0,4.0,Mender
0.352,81.92,0.942,0.656,0.522,4.0,-15.697,0,0.0295,0.157,0.584,150866.0,4.0,Mender
0.236,89.301,0.000127,0.883,0.437,11.0,-13.26,0,0.033,0.226,0.447,67826.0,4.0,Mender
0.56,90.016,0.0025,0.595,0.565,9.0,-8.198,0,0.0281,0.207,0.592,194333.0,4.0,Mender
0.242,95.759,0.94,0.996,0.7,0.0,-22.853,0,0.0395,0.155,0.586,70197.0,4.0,Mender
0.532,99.994,0.000565,0.779,0.586,11.0,-8.837,0,0.0328,0.124,0.494,379768.0,4.0,Mender
0.0762,70.558,0.0,0.958,0.417,11.0,-18.468,0,0.0316,0.171,0.502,74615.0,5.0,Mender
0.526,89.996,0.00605,0.774,0.561,6.0,-10.005,0,0.0258,0.103,0.463,190122.0,4.0,Mender
0.308,46.592,0.0,0.604,0.397,6.0,-7.512,0,0.17,0.364,0.509,54381.0,3.0,Mender
0.23,83.336,0.0,0.968,0.445,4.0,-11.063,0,0.0409,0.102,0.492,82314.0,5.0,Mender
0.33,98.988,0.00242,0.797,0.711,9.0,-12.348,0,0.0293,0.125,0.463,188000.0,4.0,Mender
0.445,99.998,0.893,0.835,0.361,11.0,-9.768,0,0.0333,0.146,0.5,295200.0,4.0,Mender
0.526,89.996,0.00605,0.774,0.561,6.0,-10.005,0,0.0258,0.103,0.463,190122.0,4.0,Mender
0.392,82.011,0.000295,0.883,0.597,10.0,-9.656,0,0.0294,0.11,0.535,273357.0,3.0,Mender
0.498,96.088,0.0384,0.518,0.754,6.0,-8.74,0,0.0882,0.102,0.542,147653.0,4.0,Mender
0.462,96.054,0.212,0.913,0.682,11.0,-11.505,0,0.0388,0.107,0.529,231784.0,4.0,Mender
0.58,88.07,0.0,0.45,0.744,9.0,-6.114,0,0.232,0.108,0.463,132272.0,4.0,Mender
0.459,81.024,0.0593,0.733,0.693,5.0,-12.451,0,0.0407,0.12,0.35,219906.0,4.0,Mender
0.526,89.996,0.00605,0.774,0.561,6.0,-10.005,0,0.0258,0.103,0.463,190122.0,4.0,Mender
0.392,82.011,0.000295,0.883,0.597,10.0,-9.656,0,0.0294,0.11,0.535,273357.0,3.0,Mender
0.33,98.988,0.00242,0.797,0.711,9.0,-12.348,0,0.0293,0.125,0.463,188000.0,4.0,Mender
0.498,96.088,0.0384,0.518,0.754,6.0,-8.74,0,0.0882,0.102,0.542,147653.0,4.0,Mender
0.489,90.526,8.29e-06,0.678,0.711,4.0,-8.892,0,0.12,0.344,0.543,191270.0,4.0,Mender
0.186,58.628,0.0329,0.916,0.287,0.0,-13.963,0,0.0342,0.166,0.532,167000.0,5.0,Mender
0.503,92.888,0.0,0.637,0.683,5.0,-7.783,0,0.343,0.183,0.483,210279.0,4.0,Mender
0.494,93.609,0.0,0.627,0.703,5.0,-7.829,0,0.315,0.172,0.457,210279.0,4.0,Mender
0.569,90.31,0.0,0.424,0.528,9.0,-7.198,0,0.256,0.49,0.423,181577.0,4.0,Mender
0.471,99.986,1.68e-05,0.749,0.794,1.0,-10.046,0,0.0541,0.101,0.52,165600.0,4.0,Mender
0.371,91.173,0.00227,0.411,0.795,7.0,-8.205,0,0.285,0.114,0.415,224313.0,4.0,Mender
0.476,88.617,0.000154,0.749,0.524,5.0,-6.908,0,0.281,0.263,0.396,180770.0,4.0,Mender
0.493,95.995,1.92e-05,0.603,0.611,1.0,-8.365,0,0.0289,0.159,0.425,282613.0,4.0,Mender
0.577,81.986,1.23e-06,0.543,0.65,4.0,-8.728,0,0.0426,0.18,0.373,247160.0,4.0,Mender
0.474,72.068,0.0,0.614,0.483,6.0,-7.286,0,0.0457,0.585,0.428,197930.0,4.0,Mender
0.298,88.447,0.0,0.912,0.339,2.0,-9.875,0,0.0541,0.351,0.468,187562.0,4.0,Mender
0.248,75.136,4.77e-06,0.977,0.481,9.0,-11.826,0,0.0311,0.102,0.433,172013.0,4.0,Mender
0.485,81.522,0.0,0.5,0.546,6.0,-6.313,0,0.0243,0.148,0.425,330013.0,4.0,Mender
0.493,95.995,1.92e-05,0.603,0.611,1.0,-8.365,0,0.0289,0.159,0.425,282613.0,4.0,Mender
0.577,81.986,1.23e-06,0.543,0.65,4.0,-8.728,0,0.0426,0.18,0.373,247160.0,4.0,Mender
0.298,88.447,0.0,0.912,0.339,2.0,-9.875,0,0.0541,0.351,0.468,187562.0,4.0,Mender
0.485,81.522,0.0,0.5,0.546,6.0,-6.313,0,0.0243,0.148,0.425,330013.0,4.0,Mender
